t,ax,ay,az,gx,gy,gz
163,2.1164744,1.8650831,9.167398,0.014660766,-0.004886922,0.004886922
252,2.1452048,2.0973208,9.155427,0.013439035,-0.028099801,-0.0012217305
334,2.0207062,2.2697031,9.495404,-0.052534413,-0.096516706,0.008552114
412,1.8794483,1.9608512,10.5440645,-0.63041294,-0.38240165,0.0061086523
489,2.645593,-0.4381389,10.187328,-1.3866642,-0.784351,-0.02443461
566,2.6001031,-0.59855044,9.619903,-2.0011945,-0.84665924,-0.21991149
649,4.560954,-2.5953147,7.5944076,-3.9413025,-2.0329595,-1.813048
731,6.184223,-3.3423057,6.4643445,-3.79836,-1.672549,-2.3005185
811,6.9647326,-4.084508,4.7070007,-2.302962,-0.84788096,-1.8423696
890,7.97748,-3.4979286,3.9576154,-0.5656612,-0.5681047,-1.3353515
972,8.971074,0.0047884034,3.6056678,-0.93951076,-0.40194935,-0.5876524
1051,9.291897,-2.5378537,1.3575124,-2.4666739,-0.3885103,-0.86132
1129,8.848969,-1.7310078,2.7820623,0.3200934,0.5546656,0.17470746
1224,8.573636,-4.6591167,4.390966,-0.9578367,0.103847094,-0.3115413
1302,8.825027,-4.261679,3.8786068,0.9309586,0.20280726,-0.10873401
1381,8.695741,-1.3623008,3.181894,0.6230826,0.07086037,-0.15271631
1461,8.6574335,-2.0350714,3.8379054,-0.12461651,0,-0.07819075
1542,8.884883,-2.3678656,3.4739866,-0.02687807,0.018325957,0.018325957
1620,8.781932,-2.231396,3.6511576,0.014660766,0.04153884,0.009773844
1699,8.678981,-2.4899697,3.691859,-0.02076942,0.0036651916,-0.015882496
1789,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
1918,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2006,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2083,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2172,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2249,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2329,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2409,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2492,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2573,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2653,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2734,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2816,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2897,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
2978,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
3059,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
3139,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
3246,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
3326,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
3406,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
3487,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
3568,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
3649,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
3732,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
3811,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
3899,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
3979,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
4057,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
4137,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
4216,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
4297,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
4379,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
4459,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
4540,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
4622,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
4704,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
4785,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
4866,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
4948,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
5029,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
5110,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
5192,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
5273,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
5354,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
5436,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
5517,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
5599,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
5680,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
5761,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
5843,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
5924,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
6006,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
6083,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
6162,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
6245,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
6327,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
6407,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
6489,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
6569,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
6649,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
6731,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
6812,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
6890,8.698134,-2.3295584,3.7110126,-0.02076942,0.004886922,0.015882496
7023,4.453215,5.12838,6.244078,-0.002443461,-0.02565634,0.021991149
7102,3.727772,7.4124484,6.3661823,-1.3610078,0.17348573,-0.3200934
7181,3.9600096,2.0566192,9.035717,-0.874759,0.23457226,-0.24923302
7264,3.6152446,4.156334,7.9631147,-0.893085,0.010995574,-0.059864793
7340,3.4452562,2.4612393,8.542512,-1.4220943,0.11728613,0.0012217305
7418,3.3901896,1.3718776,8.848969,-0.7452556,0.13927728,0.04153884
7495,3.6703112,1.3503298,9.081207,-0.39095375,-0.037873644,-0.058643065
7572,3.4715924,2.2146366,8.899248,0.030543262,-0.08674286,0.019547688
7648,3.5122938,1.0510546,8.973468,-0.062308256,-0.13439035,0.032986723
7726,3.892972,1.6663644,8.6334915,0.02687807,-0.1441642,0.034208454
7808,3.9624038,1.7980455,8.439561,0.056199603,-0.112399206,0.09162979
7893,3.9743748,1.4580688,8.212111,0.18081611,0.007330383,0.21746802
7971,4.010288,1.3192052,8.350976,0.15149458,0.12705997,0.19181168
8050,4.0916905,1.3718776,8.295909,0.13072516,0.18570304,0.030543262
8129,3.8235402,1.6208745,8.48984,0.04642576,0.26267207,-0.15393804
8249,2.7509377,1.9249382,9.330204,-0.3115413,0.36285394,-0.2687807
8344,2.765303,1.5179238,9.31105,0.12705997,0.095294975,0.042760566
8425,3.1483753,1.5370775,8.992621,0.07574729,0.02687807,0.057421334
8507,2.9735985,1.7477672,8.8777,0.080634214,-0.007330383,-0.012217305
8589,2.72939,1.7884687,9.121908,-0.007330383,-0.04520403,-0.10629055
8669,3.0550013,1.484405,8.836999,0.042760566,-0.013439035,-0.02687807
8749,3.028665,1.7166426,8.882488,0.0036651916,0.014660766,0.028099801
8831,3.0693667,1.6208745,8.865729,0.028099801,-0.021991149,-0.021991149
8916,2.9161377,1.8100165,8.901642,0.002443461,0.02565634,-0.089186326
8994,2.767697,2.0949266,8.980651,-0.0012217305,0.042760566,0.0061086523
9090,2.6743233,1.7764976,9.548077,-0.13439035,-0.20158553,0.07941248
9191,3.110068,2.171541,9.576807,-0.6414085,-0.9944886,0.36163223
9270,4.3622355,0.9576807,7.9726915,-1.3182472,-1.5234979,0.6267477
9347,5.6646814,-1.412579,7.3190746,-1.7971655,-1.486846,0.66706485
