t,ax,ay,az,gx,gy,gz
1764917092252,-4.663905,6.694188,4.685453,0.09285152,0.1881465,-0.16249016
1764917092305,-5.1642933,6.0501475,5.4204726,0.030543262,0.017104227,-0.17470746
1764917092358,-5.1810527,5.884948,5.494693,0.04642576,-0.07086037,-0.17959438
1764917092418,-6.0477533,5.7604494,4.9919105,0.09285152,-0.052534413,-0.15515977
1764917092470,-6.184223,6.0381765,4.8003745,0.0720821,-0.13316862,-0.13194689
1764917092522,-5.4324436,7.0461354,4.584896,0.021991149,-0.38362336,-0.07452556
1764917092578,0.6751649,8.219295,5.5856724,-0.073303826,-1.0824533,-0.13561209
1764917092632,-3.9264908,7.443573,5.7365074,-0.02076942,-0.41416663,-0.17592919
1764917092684,-5.8801594,6.2464724,4.7381253,0.13561209,0.20280726,-0.24556783
1764917092737,-2.6384103,8.329428,5.2528787,0.25900686,-0.7318166,-0.11362094
1764917092790,-8.535329,5.085284,4.3143516,0.33964106,-0.15271631,-0.029321533
1764917092843,-7.551312,6.1387334,2.0111294,0.32253686,-1.7336355,-0.040317107
1764917092903,-5.547365,6.576872,2.8754363,-0.267559,-1.0555751,0.21135938
1764917092955,-6.0525417,3.9360676,6.3302693,-0.41416663,-0.4373795,0.39828414
1764917093009,-5.1259856,5.2409077,6.3350577,-0.4092797,-0.40194935,0.5180137
1764917093062,-2.8562827,4.5872903,7.5920134,-0.38362336,-0.7965683,0.53023106
1764917093118,-2.4756045,4.912902,7.3549876,-0.35430184,-0.70005155,0.51923543
1764917093173,-0.8714894,5.815516,8.295909,-0.32375857,0.012217305,0.44959682
1764917093226,-0.007182605,5.6096144,10.160992,-0.25411993,-0.38240165,0.33475417
1764917093280,0.33997664,5.729325,9.643845,-0.13194689,-0.27488935,0.26267207
1764917093338,-2.9257145,6.217742,6.9743094,-0.10873401,-0.007330383,0.14782938
1764917093393,-1.3694834,5.494693,7.8984714,-0.095294975,-0.28955013,0.17715092
1764917093453,-0.19393034,5.837064,8.195353,-0.039095376,-0.49968776,0.13927728
1764917093505,0.1340753,6.528988,7.16824,0.018325957,-0.4801401,0.040317107
1764917093558,0.9648633,6.7372837,7.0126166,-0.07696902,0.44348818,0.05375614
1764917093614,-2.540248,6.3542113,8.47308,-0.081855945,0.50946164,-0.0012217305
1764917093667,-1.8195933,7.45315,11.836933,-0.002443461,-0.15882497,0.06719518
1764917093721,-2.6623523,8.008605,16.270994,0.19425514,-0.04642576,0.12461651
1764917093774,-3.2106245,5.877765,21.475988,0.8918633,0.028099801,0.23335053
1764917093827,-2.60968,4.6830587,17.860744,1.5344934,-0.19547687,0.29565877
1764917093881,-1.9081788,4.072537,12.761095,1.890017,-0.20769419,0.33108896
1764917093935,0.17717093,4.912902,5.1547165,2.0964894,-0.51923543,0.23090707
1764917093988,0.48841715,5.0182467,3.347094,2.035403,-0.22602014,0.21013765
1764917094044,-0.18195933,4.84347,2.8993783,1.9596558,-0.13316862,0.1881465
1764917094104,0.9888053,4.7381253,1.7118542,1.8167132,-0.43249258,0.035430185
1764917094161,1.4197617,4.7740383,1.0462662,1.7592919,-0.7867944,-0.105068825
1764917094216,1.2761095,5.779603,-2.135628,1.5931365,-0.6389651,-0.33964106
1764917094271,1.7764976,5.439626,-1.9560628,1.4746287,-0.31031954,-0.42394048
1764917094324,-0.4357447,5.650316,-2.4947581,1.3878858,0.16982053,-0.44348818
1764917094377,-1.7812861,6.5241995,-3.6296098,1.2351695,0.10262536,-0.41050145
1764917094431,-2.1571758,6.7851677,-4.546589,1.1508701,0.12950343,-0.3481932
1764917094486,-2.4588451,7.541735,-6.0860605,1.0360274,0.061086524,-0.29810223
1764917094539,-2.6839,8.049306,-9.157822,0.7147123,-0.12217305,-0.172264
1764917094593,-3.3063924,8.334216,-9.902418,0.49602258,0.017104227,-0.10140363
1764917094655,-3.2992098,7.9511437,-9.452309,-0.02321288,-0.06841691,0.062308256
1764917094707,-2.822764,7.2711906,-9.303867,-0.2321288,-0.21746802,0.13072516
1764917094760,-1.922544,6.1938,-9.433155,-0.43127087,-0.16615535,0.18448131
1764917094812,-2.0925324,2.932897,-15.641319,-0.98349303,0.065973446,0.22602014
1764917094866,-2.432509,1.6112977,-18.710686,-1.4404203,0.5534439,0.23579398
1764917094923,-1.5370775,1.079785,-17.176003,-2.1160371,0.68661255,0.19792034
1764917094976,-1.0295067,-2.695871,-6.921637,-3.4147367,0.20158553,0.13805555
1764917095028,-0.581791,-4.546589,-2.6048915,-3.7678168,0.3494149,0.15515977
1764917095081,0.39264908,-5.8921304,2.2457612,-3.935194,0.14538592,0.09285152
1764917095138,0.090979666,-8.329428,9.397242,-3.9461894,0.10262536,-0.04520403
1764917095192,-2.2768857,-8.980651,13.5296335,-3.8545597,-0.09896017,-0.0842994
1764917095245,-2.1428106,-8.099585,19.184738,-3.6297612,-0.35918877,0.034208454
1764917095299,1.6424223,-3.3255463,30.44467,-2.5008824,-0.38973203,0.17837265
1764917095353,1.9608512,-0.2777274,32.776623,-1.6811012,-0.31031954,0.112399206
1764917095406,1.328782,2.56419,32.71437,-0.87109387,-0.12461651,0.07452556
1764917095459,0.93373865,3.6415808,33.360806,0.5546656,0.12217305,-0.007330383
1764917095511,-0.24660277,1.8435353,34.186806,1.2547172,0.15027285,-0.010995574
1764917095564,-0.4285621,-2.2505496,32.790985,2.021964,0.4642576,0.05009095
1764917095622,-0.8355764,-8.429984,21.332336,3.3426547,0.37873647,0.15882497
1764917095676,0.35434186,-9.045294,15.21994,3.717726,0.09773844,0.15882497
1764917095730,2.4013844,-9.054871,6.3685765,3.9901717,-0.5839872,-0.11362094
1764917095789,1.6950948,-8.367735,2.5115175,3.935194,-0.2919936,-0.2846632
1764917095842,-0.1316811,-7.0940194,-0.36391866,3.789808,-0.04886922,-0.32742378
1764917095896,-1.115698,-4.3837833,-4.9655743,3.4037411,0.30787608,-0.21991149
1764917095950,-1.1109096,-3.3782187,-7.326257,3.1667254,0.17470746,-0.15393804
1764917096003,-1.2880806,-1.9847932,-9.540894,2.8942795,0.27000242,-0.08674286
1764917096056,-1.8411411,0.92895025,-13.275848,2.2699752,0.30787608,0.039095376
1764917096109,-1.7286136,2.6839,-15.969325,1.9010127,0.112399206,0.0842994
1764917096162,-1.6041151,4.0318356,-17.211916,1.473407,0.20158553,0.12705997
1764917096214,-0.2681506,5.614403,-18.772936,0.548557,-0.16493362,0.14905111
1764917096267,-0.5506664,5.6551046,-19.146431,0.07574729,0.02687807,0.14172074
1764917096324,-0.62967503,5.48751,-18.598158,-0.38606682,-0.04886922,0.12950343
1764917096377,-0.91219085,3.4284968,-16.625336,-1.346347,-0.08552113,0.16982053
1764917096429,-0.1316811,1.8507179,-15.557523,-1.7654005,-0.27855456,0.17348573
1764917096481,-0.023942016,-0.035913024,-13.8241205,-2.1697934,-0.02443461,0.19058995
1764917096533,0.89543146,-3.4739866,-8.3629465,-2.910162,0.23457226,0.034208454
1764917096588,-0.6512229,-3.2249897,-8.288726,-3.2449162,0.07086037,-0.029321533
1764917096641,-1.5442601,-4.9344497,-5.2648497,-3.6468656,0.017104227,-0.02687807
1764917096693,-0.7134721,-7.5441294,2.0231004,-4.2650614,-0.004886922,0.14660765
1764917096746,0.34955344,-8.889671,6.8689647,-4.3725734,0.11728613,0.19547687
1764917096799,2.15957,-9.809045,12.74673,-4.321261,-0.1282817,0.16737708
1764917096851,2.5330653,-7.735666,26.266787,-3.4709363,-0.593761,0.05497787
1764917096904,2.7246015,-4.7429137,30.700848,-2.7708848,-0.56321776,0.047647487
1764917096960,2.183512,-0.8690952,31.380802,-1.9657644,0.04153884,0.028099801
1764917097013,0.91937345,4.8482585,31.165323,-0.5009095,0.25778514,-0.07452556
1764917097066,0.89543146,4.7381253,31.4646,0.15515977,0.119729586,-0.07819075
1764917097121,0.8523358,3.3566709,29.604303,0.816116,0.26389378,-0.05375614
1764917097178,1.0486604,-0.9600749,25.615564,2.0378466,0.35063666,-0.056199603
1764917097231,0.60333884,-2.8395233,22.625206,2.5644124,0.38606682,-0.061086524
1764917097284,0.055066638,-4.6232033,18.933348,2.9981265,0.36896262,-0.032986723
1764917097336,-0.6967127,-6.55293,10.752359,3.530801,0.51068336,0.07819075
1764917097396,-0.50757074,-6.6726403,7.5944076,3.6370916,0.5510005,0.16371189
1764917097450,-0.60333884,-6.2345014,2.2218192,3.707952,0.21991149,0.24556783
1764917097504,-0.107739076,-5.947197,-0.92416185,3.6981783,0.002443461,0.267559
1764917097557,0.5506664,-4.4699745,-4.5322237,3.5479054,0.2284636,0.2773328
1764917097612,2.8898015,-0.37110126,-12.337321,3.0604348,0.7501425,0.36896262
1764917097665,2.2864625,2.018312,-15.849615,2.6303856,-0.02565634,0.24190263
1764917097719,1.8267759,3.0909145,-16.627731,1.9608774,-0.118507855,0.16493362
1764917097773,1.163582,4.1802764,-16.263813,1.2253957,-0.24678956,0.05009095
1764917097826,0.6823475,4.6782703,-16.527174,0.7012733,-0.18448131,0.008552114
1764917097882,0.7493851,4.7285485,-16.543934,0.30176744,-0.17470746,-0.02565634
1764917097934,0.94570965,3.6990416,-17.132908,-0.5363397,-0.058643065,-0.12339478
1764917097990,1.4341269,3.028665,-18.004396,-0.98349303,0.039095376,-0.17592919
1764917098046,1.0342951,2.5498247,-17.867928,-1.4782939,-0.0842994,-0.24801129
1764917098099,0.28491,-0.1316811,-16.01721,-2.5314255,-0.172264,-0.30543262
1764917098152,0.47405192,-1.8531121,-13.290214,-3.0176742,-0.13439035,-0.31642818
1764917098205,0.78290397,-3.1890767,-9.624691,-3.4599407,-0.02687807,-0.3481932
1764917098259,-0.260968,-5.861006,-1.6950948,-4.125784,0.13683382,-0.47647488
1764917098312,2.2002714,-7.4962454,1.3263878,-4.3689084,-0.11484267,-0.5180137
1764917098367,-1.3215994,-9.375694,9.320627,-4.4263296,0.376293,-0.6951646
1764917098419,-2.7700913,-9.938332,16.287754,-3.8606684,-0.16249016,-0.74281216
1764917098471,-3.5745432,-7.589619,18.634071,-3.431841,-0.15271631,-0.6218608
1764917098525,-5.5282116,-5.542577,21.959618,-2.978579,-0.54611355,-0.52778757
