t,ax,ay,az,gx,gy,gz
1764920638153,-1.8411411,1.3311762,9.203311,-0.13561209,0.09773844,-0.15515977
1764920638205,-2.9400797,2.291251,8.798691,-0.037873644,-0.36896262,-0.28710666
1764920638259,-3.0310593,2.2026656,8.224083,-0.04642576,-0.45204028,-0.3005457
1764920638311,-2.719813,2.267309,8.688558,-0.089186326,-0.31642818,-0.28588495
1764920638365,-2.420538,1.70946,8.746018,-0.096516706,-0.22479841,-0.2883284
1764920638418,-2.0853498,1.4101849,9.411607,-0.034208454,-0.42638394,-0.32375857
1764920638470,-1.6448165,0.581791,8.145074,0.02565634,-0.6780604,-0.376293
1764920638522,-2.1523874,0.9768343,8.3629465,-0.07819075,-0.1563815,-0.40317106
1764920638575,-1.4053963,0.37588966,8.504205,-0.095294975,-0.33353242,-0.47525316
1764920638629,-3.25372,1.2186487,9.406818,-0.08307768,-0.24678956,-0.50579643
1764920638684,-2.2697031,0.90500826,7.089231,-0.057421334,-0.7440339,-0.46670106
1764920638737,-1.376666,0.35194764,9.993398,-0.14172074,-0.59498274,-0.35308012
1764920638789,-0.44771573,-0.7206547,13.8720045,-0.07574729,-0.5119051,-0.39461896
1764920638847,-4.4603977,0.7134721,11.671733,0.30176744,-0.13683382,-0.29443705
1764920638899,-3.9264908,1.946486,7.019799,0.24312437,-0.042760566,-0.2724459
1764920638952,-3.9719806,1.5825673,6.2752028,0.04886922,0.010995574,-0.14172074
1764920639004,-3.2872388,0.7757214,10.594342,-0.12583824,0.040317107,0.02443461
1764920639065,-2.8514943,0.7086837,10.627861,-0.07574729,-0.18325958,0.10629055
1764920639117,-1.7621324,-0.37828386,12.088325,0.019547688,-0.52778757,0.10751228
1764920639169,-1.4508862,0.4141969,11.221623,0.12095132,0.002443461,0.12339478
1764920639223,-3.6463692,0.39025488,12.299014,0.24190263,-0.6560693,0.16126843
1764920639278,-1.0582372,0.6512229,20.69548,0.3848451,-0.5729916,0.23823744
1764920639331,0.24420857,-1.2162545,42.066124,1.7140878,0.58032197,0.19914207
1764920639383,2.0829554,-3.406949,43.691788,2.8356364,0.68661255,0.21746802
1764920639435,0.5410896,-7.7572136,40.828323,3.898542,1.3170254,0.18448131
1764920639487,3.1124623,-23.19742,27.48783,5.5588737,0.5693264,0.2932153
1764920639540,1.103727,-30.95224,17.927782,6.024353,1.8594738,0.49846604
1764920639593,0.18914193,-33.327286,6.4380083,6.234491,1.4526376,0.8258898
1764920639648,1.6543933,-31.000124,-4.867412,5.9534926,0.6963864,1.1093313
1764920639701,-0.08619126,-29.034485,-6.1530986,5.644395,0.27855456,1.1667526
1764920639754,2.9496565,-26.999413,-9.3182335,5.3658404,-0.028099801,1.1349876
1764920639806,4.453215,-22.316355,-18.909405,4.5900416,-0.02076942,0.79901177
1764920639860,4.8602295,-19.428947,-30.70803,4.0500364,0.5876524,0.6914995
