t,ax,ay,az,gx,gy,gz
1764804386130,1.7932571,2.6599581,10.259154,-0.7684685,-0.49235737,0.84665924
1764804386183,2.0278888,2.9376855,10.067618,-1.0115929,-0.8344419,1.1191051
1764804386235,2.2601264,2.3391352,9.598354,-1.9572122,-1.6713274,1.971873
1764804386288,1.9608512,-0.9720459,8.02297,-2.7769935,-2.0830505,2.1062634
1764804386341,2.9257145,-7.45315,5.1690817,-4.927239,-2.0305161,1.0445796
1764804386394,4.8602295,-9.861717,-1.685518,-8.823338,-1.6701056,-0.72692966
1764804386445,6.3182983,-10.108319,-1.6783354,-13.937502,-0.73426,-2.4226916
1764804386496,7.1395097,-9.107543,-2.9903579,-6.6523223,1.736079,-1.844813
1764804386547,9.205706,-6.9719152,-2.597709,-0.5888741,2.0793853,-1.001819
1764804386599,7.52737,-2.1308396,7.321469,-0.5375614,1.5393804,-0.8503244
1764804386657,9.945514,-5.90889,-0.38307226,-2.0415115,-0.23579398,-1.0299188
1764804386711,5.473145,-0.1412579,-0.7206547,0.9578367,0.22724187,-0.3921755
1764804386766,9.993398,-4.280833,-1.733402,0.059864793,0.009773844,-0.13072516
1764804386820,9.868899,-3.8881836,-2.1978772,0.29443705,-0.089186326,-0.2125811
1764804386878,11.547235,-4.5777135,-2.743755,0.119729586,0.17592919,0.040317107
1764804386934,13.393165,-7.0485296,-4.5034933,0.18325958,0.7012733,0.39461896
1764804386988,15.490485,-7.225701,-4.4077253,1.1899655,2.130698,1.1533136
1764804387041,10.766725,-6.0884547,-0.641646,2.090381,3.1984904,1.2070698
1764804387105,7.0461354,-4.5178585,1.30484,2.7476718,2.960253,0.593761
1764804387157,4.086902,-4.4196963,1.8100165,4.002389,1.8228219,-0.043982297
1764804387208,2.5713725,-2.7844565,2.480393,3.3903022,1.690875,-0.39706242
1764804387263,1.661576,0.6919243,4.8506527,2.406809,1.3231341,-0.30909783
1764804387318,2.4181437,3.0071173,7.165846,1.0812315,0.71959925,0.21380283
1764804387370,0.9888053,2.7605145,8.420407,0.172264,0.23823744,0.47525316
1764804387422,0.36631286,4.345476,7.860164,0.02076942,-0.64996064,0.61819565
1764804387481,-3.1675289,4.900931,5.035006,-0.81000733,-1.9401081,0.86254174
1764804387538,-5.662287,5.463568,3.4165258,-2.035403,-3.4513886,1.001819
1764804387598,-3.5410242,-0.37349546,-11.35091,-4.554611,-5.3780575,1.3451253
1764804387650,22.50789,-18.959682,-17.168821,-10.032851,-5.602856,0.84421575
1764804387701,5.78918,-14.592659,-12.966996,-3.907094,-3.2974505,0.6768387
1764804387755,32.530018,-8.528147,-20.898987,1.863139,-1.7116444,2.0561724
1764804387807,17.425,-10.78109,-14.087482,1.8606955,1.5381587,-0.95905846
1764804387862,11.647791,-10.295067,-9.062054,3.6077702,3.7323866,-1.1435398
1764804387913,8.4108305,-7.443573,-4.2640734,3.8227947,4.223522,-0.95905846
1764804387964,4.7141833,-6.9479733,-2.44448,4.065919,4.013385,-0.6560693
1764804388018,4.939238,-1.2593501,1.1899183,4.7671924,3.4965928,-0.91507614
1764804388070,2.6240451,-0.6440403,1.7310078,3.7788124,2.933375,-0.8026769
1764804388145,-0.04070143,3.5793316,3.7948096,1.6444492,2.1245892,-0.5558874
1764804388200,0.19632454,4.283227,8.743625,0.27488935,0.9639453,-0.56321776
1764804388254,-0.58418524,4.733337,8.324639,0.19181168,0.16737708,-0.4813618
1764804388307,-0.9888053,5.9041014,7.2711906,-0.4813618,-0.48258355,0.1160644
1764804388365,-4.249708,6.694188,5.2983685,-1.7189748,-1.2925909,0.893085
1764804388423,-5.734113,4.333505,-0.2657564,-3.571118,-2.9590313,1.772731
1764804388478,-0.23223756,-4.1706996,-8.7053175,-6.4201937,-5.2057934,1.6811012
1764804388531,10.776301,-12.761095,-15.224729,-7.9815655,-6.079331,0.9260717
1764804388588,23.79597,-15.107412,-11.221623,-3.8594465,-4.5497246,-0.7806858
