t,ax,ay,az,gx,gy,gz
1764921362959,-1.1204864,2.3295584,9.7324295,-0.059864793,0.080634214,-0.18936823
1764921363011,-0.81881696,2.1045034,9.636662,-0.029321533,-0.05131268,-0.16615535
1764921363064,-0.878672,1.6184803,10.290278,0.015882496,0.07696902,-0.16371189
1764921363117,-0.8810662,1.8028339,10.254366,0.11728613,-0.312763,-0.16982053
1764921363173,-0.6536171,1.9680338,9.698911,0.21746802,-0.4654793,-0.18325958
1764921363226,-0.5626374,1.7142484,9.442732,0.22235495,-0.14049901,-0.22113322
1764921363278,-0.5267244,1.3455414,8.985439,0.23823744,0.12339478,-0.23335053
1764921363330,-2.2385786,1.1947067,9.3421755,0.2125811,0.13072516,-0.2773328
1764921363383,-3.6870706,1.6663644,9.797073,0.12217305,0.040317107,-0.2003638
1764921363438,-0.9672575,1.1061212,9.32781,0.112399206,-0.39950588,-0.13194689
1764921363496,-0.17717093,0.89064306,11.269507,0.062308256,0.02687807,-0.0842994
1764921363548,-3.7612908,3.1914709,13.141773,0.06841691,0.7012733,0.015882496
1764921363600,-1.4891934,1.8387469,13.682862,0.22968534,-0.51923543,-0.0012217305
1764921363652,-4.8698063,3.25372,19.83596,0.34574974,-0.84665924,-0.034208454
1764921363707,1.2808979,0.82121116,34.033577,1.4391985,-1.2131784,0.17837265
1764921363762,0.50278234,-0.842759,37.914577,2.234545,-0.35796702,0.19792034
1764921363816,5.710171,-5.3462524,38.4006,3.1740558,-0.04642576,0.16982053
1764921363868,8.707711,-19.07221,29.321789,5.0066514,0.38606682,-0.2443461
1764921363924,7.9248075,-26.403255,21.399374,5.679825,0.25778514,-0.44715336
1764921363980,5.070919,-32.81014,3.2632968,6.2247167,1.3096951,-0.47891834
1764921364033,4.2161894,-34.088642,-4.036624,6.177069,1.2144,-0.36041048
1764921364085,2.4037786,-32.680855,-9.181764,5.9583797,1.6603317,-0.13805555
1764921364140,3.4739866,-25.012226,-18.555063,5.1923547,0.7819075,0.27000242
1764921364194,2.4492683,-20.520702,-24.164679,4.5717154,0.84421575,0.34697145
1764921364248,1.0510546,-16.026787,-35.953728,3.7433822,-0.40317106,0.2565634
1764921364301,5.4683566,-6.4643445,-50.678066,1.065349,-0.28344148,0.16737708
1764921364353,1.7525556,-6.4164605,-57.463234,-0.98715824,-1.2217305,-0.04520403
1764921364405,-0.17956513,-11.858481,-56.36669,-2.4165828,-1.4782939,-0.008552114
1764921364463,0.79248077,-44.089226,-41.06774,-6.278473,-1.4892895,0.68294734
1764921364515,-0.8355764,-60.726532,-33.255463,-7.464773,-1.2034045,1.033584
1764921364569,2.018312,-75.67832,-21.763294,-8.374963,-2.0732768,1.5076154
1764921364629,16.757017,-78.44363,10.579977,-8.68406,-1.5845845,2.4141395
