t,ax,ay,az,gx,gy,gz
1764920618337,-4.745308,-0.8834604,7.73806,-1.2974777,-0.47403142,0.15393804
1764920618388,-4.1683054,-0.31364042,8.623915,-0.73548174,-0.052534413,0.05375614
1764920618439,-4.8003745,-0.866701,9.141062,-0.009773844,0.22602014,0.19181168
1764920618490,-3.7421372,-0.48841715,8.90643,0.12583824,0.21991149,-0.096516706
1764920618541,-5.209783,2.1428106,9.720459,-0.14782938,0.5888741,-0.22479841
1764920618593,-5.6982,1.5777789,8.365341,-1.7739527,0.04520403,0.09285152
1764920618647,-5.647922,-1.3359646,6.409278,-4.0378194,-0.8222246,0.073303826
1764920618702,-4.441244,-5.29358,1.3239936,-7.78731,-1.3866642,-0.3494149
1764920618755,-2.360683,-8.588001,0.94810385,-10.015746,-1.7739527,-0.6450737
1764920618808,2.0949266,-12.200851,-4.5992613,-6.930877,-1.6994271,-1.2388347
1764920618868,0.59136784,-10.879252,-6.160281,-4.94923,0.18203785,-0.9492846
1764920618922,1.4772224,-12.035652,-2.6120741,-4.202753,0.22357668,-1.0409144
1764920618976,3.1483753,-12.109872,-1.7908629,-2.652377,0.015882496,-1.0458013
1764920619031,-0.5482722,-8.566454,-0.7110779,0.46303585,0.32498032,-0.6743952
1764920619086,-3.004723,-5.695806,-2.9783869,3.4709363,0.3323107,0.095294975
1764920619145,-0.4357447,-6.9168487,-7.2328835,-1.8069394,-0.4813618,0.36041048
1764920619200,-1.3024458,-8.250419,-6.6870055,-0.30909783,0.29443705,0.66339964
1764920619255,0.45010993,-9.339781,-4.805163,0.02321288,-0.13927728,0.37873647
1764920619307,-0.11492168,-8.109161,-4.620809,1.5479325,-0.06352998,-0.04153884
1764920619369,-0.8595184,-10.254366,-3.0119057,0.8857546,-0.172264,0.19425514
1764920619423,-1.6496049,-9.545682,-2.908955,0.68294734,0.10140363,0.05009095
1764920619478,-0.7661445,-9.291897,-2.9520507,0.48624873,-0.09896017,0.02443461
1764920619532,-0.9768343,-9.078813,-2.779668,0.46181414,-0.07696902,-0.057421334
1764920619587,-1.6352397,-9.449914,-3.0573955,0.47525316,-0.095294975,-0.080634214
1764920619648,-0.7422025,-8.978256,-2.291251,0.32375857,-0.28344148,-0.07696902
1764920619707,-1.1300632,-9.811439,-2.219425,0.2602286,-0.10751228,-0.018325957
1764920619762,-0.46926352,-9.581595,-2.396596,0.19914207,-0.09285152,-0.065973446
1764920619816,-1.0295067,-10.898406,-2.6408045,-0.04153884,-0.10262536,-0.15271631
1764920619873,-1.2856863,-9.598354,-2.1092918,-0.10629055,0.1001819,-0.10629055
1764920619927,-0.9648633,-9.150639,-1.9081788,0.096516706,-0.07452556,-0.12583824
1764920619979,-0.7086837,-9.385271,-2.0805612,0.20525073,-0.052534413,-0.062308256
1764920620031,-0.58897364,-9.445126,-1.448492,0.29810223,-0.12339478,-0.04642576
1764920620086,-0.37110126,-9.986216,-1.8124107,0.44104472,-0.08552113,-0.039095376
1764920620139,0.12689269,-10.601525,-1.0654198,0.51923543,-0.15149458,-0.15393804
1764920620192,-0.24181437,-11.915942,0.22026655,0.96883225,-0.2406809,-0.35430184
1764920620251,1.1013328,-10.620679,1.0749966,0.8185594,0.172264,-0.31764993
1764920620312,2.6312277,-10.773908,2.3678656,2.0610592,-0.13927728,-0.4361578
1764920620372,0.36631286,-15.088259,2.882619,1.3683381,-0.16615535,-0.8576548
1764920620430,1.4269443,-14.772224,5.5258174,2.3359487,-0.3848451,-1.142318
1764920620487,1.292869,-14.587871,4.7740383,2.207667,-0.9993755,-1.7556267
1764920620540,0.59855044,-14.276625,3.2489316,2.2088888,-0.8344419,-2.1013765
1764920620593,2.3439236,-12.990938,2.4229321,2.3469443,-0.82344633,-2.1184807
1764920620651,4.060566,-9.251195,3.763685,2.7269025,-1.0604621,-2.1930063
1764920620711,0.9696517,-4.9224787,2.9520507,2.1355848,-0.7367035,-2.597399
1764920620764,2.60968,-3.6750996,3.6774938,2.3469443,-0.906524,-2.5680776
1764920620818,2.9999347,-0.6799533,2.1978772,1.8924606,-1.2205088,-2.5583036
1764920620872,3.3973722,3.6966474,3.4572272,1.844813,-0.4251622,-2.896723
1764920620927,4.3047748,5.327099,1.769315,1.1435398,-1.0005972,-1.2315043
1764920620980,2.6839,6.4499793,1.8579005,0.49480084,-0.057421334,-0.2773328
1764920621031,3.383007,6.7923503,0.1436521,-0.593761,0.47769663,0.5852089
1764920621084,1.3383588,3.7828386,0.16759412,-1.6481144,0.86132,1.3744467
1764920621136,3.5529952,1.6903064,1.3383588,-2.6865854,1.0348058,2.0891593
1764920621196,0.050278235,-6.220136,0.90500826,-3.86189,1.2009611,4.348139
1764920621257,2.6288335,-9.720459,1.9632454,-4.4067817,0.40439278,2.9663615
1764920621315,2.6240451,-10.575189,6.337452,-4.3237042,0.73914695,3.0445523
1764920621371,0.78769237,-12.378023,-1.4101849,-4.310265,-0.0720821,2.3603833
1764920621423,0.35434186,-11.513716,2.956839,-4.3359213,-0.37018433,2.2479842
1764920621475,1.9297266,-17.338808,-1.0869676,-2.4788911,-0.42760566,2.0146337
1764920621535,2.6503813,-18.368315,0.272939,-0.7415904,-0.5314528,0.70616025
1764920621590,4.7381253,-26.21172,-2.7389667,-0.22113322,-0.5204572,-0.57787853
1764920621647,3.0071173,-17.468096,-0.48362875,2.371379,0.43982297,-1.6481144
1764920621702,4.2281604,-16.804901,1.4867992,3.7702603,-0.28588495,-2.1453588
1764920621763,4.309563,-15.049952,1.5753847,4.1587706,-0.80756384,-3.2522466
