t,ax,ay,az,gx,gy,gz
1764918387524,-4.367024,1.6280571,8.104373,-0.21868975,-0.13072516,0.002443461
1764918387575,-4.661511,1.8794483,8.520964,-0.09285152,-0.08552113,0.035430185
1764918387626,-4.4220905,1.4460979,8.281544,-0.08552113,-0.059864793,0.02687807
1764918387682,-4.4580035,1.5705963,8.355764,-0.02076942,-0.013439035,0.02321288
1764918387735,-4.630386,1.6256629,8.3390045,0.019547688,-0.0036651916,0.017104227
1764918387788,-4.5178585,1.7621324,8.192958,-0.02443461,-0.002443461,0.010995574
1764918387840,-4.7261543,1.8986019,8.494628,0.0012217305,-0.004886922,0.05009095
1764918387891,-4.582502,1.8171991,8.346188,-0.040317107,-0.014660766,0.04642576
1764918387942,-4.733337,2.1164744,8.1402855,-0.057421334,0,0.08552113
1764918387996,-4.6495395,2.0829554,8.221688,-0.111177474,-0.081855945,0.064751714
1764918388050,-4.891354,1.9608512,7.8170686,-0.24556783,-0.1282817,0.12461651
1764918388110,-5.872977,2.2218192,7.5345526,-1.0946705,-0.10262536,0.13561209
1764918388164,-6.172252,1.3551182,7.2831616,-2.9956832,-0.47036624,-0.204029
1764918388218,-4.759673,-1.7238252,7.1945763,-4.4446554,-0.84788096,-0.5180137
1764918388282,-4.381389,-3.335123,7.067683,-5.0200906,-0.82711154,-0.50946164
1764918388336,-3.181894,-5.9448028,3.9719806,-6.268699,-1.0348058,-0.6450737
1764918388387,-0.10534488,-13.924677,1.7980455,-7.4769907,-0.9993755,-1.1655309
1764918388441,-0.17956513,-12.174516,-0.8738836,-5.272989,-0.43004912,-1.1313224
1764918388497,1.4987702,-11.923124,-1.6376339,-3.291342,-0.1685988,-0.68294734
1764918388549,-0.5626374,-10.747571,-3.775656,-1.7690657,0.02565634,-0.2932153
1764918388608,-0.2825158,-12.516887,1.3239936,0.35185838,-0.63285637,-0.15149458
1764918388662,-1.1228806,-11.805809,1.376666,0.7305948,-1.3707817,-1.0360274
1764918388714,-0.7230489,-7.225701,-8.264784,-0.5290093,-1.2046263,-0.7147123
1764918388768,0.37349546,-14.264654,2.468422,-0.45937067,0.2284636,0.1966986
1764918388821,1.2473791,-10.072407,-0.40701428,-1.1496484,-1.0714576,-0.9309586
1764918388875,1.1372458,-11.939884,-1.8004397,2.179567,-1.0360274,-0.98349303
1764918388931,-0.34237084,-13.584701,-3.1651347,2.6682594,-0.689056,-0.874759
1764918388988,2.7964275,-11.492168,-0.5530606,2.2492058,-0.70738196,-0.8210029
1764918389041,2.6288335,-11.262324,1.9512744,2.8942795,-0.5216789,-1.3011429
1764918389114,3.4213142,-12.066776,2.6551697,3.0665436,-0.21624629,-1.8301523
1764918389170,3.9121256,-11.664551,3.064578,2.879619,-0.25289822,-2.2198844
1764918389222,4.1922474,-8.449138,3.2393548,3.5698965,-0.56199604,-2.307849
1764918389281,4.0078936,-6.4619503,3.5865142,2.960253,-0.49602258,-2.3273966
1764918389335,3.3255463,-4.6016555,4.271256,3.2791247,-0.44348818,-2.2675319
1764918389392,3.086126,-2.5689783,4.0222588,2.6633725,-0.33475417,-2.293188
1764918389446,2.7030537,-1.5251064,3.490746,2.5057693,-0.5119051,-2.252871
1764918389499,2.89459,2.9831753,2.920926,1.9755383,-0.3652974,-1.8765781
1764918389553,3.8762126,6.993463,2.6767175,1.1630874,-0.32253686,-1.1728612
1764918389624,2.5617957,6.471527,-0.6584055,-0.6059783,-0.10262536,0.13927728
1764918389676,2.3319526,5.032612,0.7661445,-1.3927728,0.73548174,1.0592403
1764918389735,2.099715,2.5450363,0.91697925,-3.0567696,1.2070698,1.9083431
1764918389794,1.7956513,-2.861071,3.9432502,-4.4580946,1.187522,2.5876253
1764918389849,1.2018893,-5.592855,3.833117,-5.3279667,0.6072,2.8270843
1764918389902,0.31364042,-6.9479733,1.6424223,-5.430592,-0.3408628,3.104417
1764918389958,-0.830788,-12.236765,-2.8060043,-4.447099,-0.31031954,3.3805282
1764918390015,0.06464344,-14.444219,-0.79726917,-5.3524013,-0.6988298,2.5045476
1764918390069,0.272939,-15.8304615,1.4341269,-3.9266417,-0.90285885,2.026851
1764918390122,1.0199299,-16.395493,-1.4820108,-1.6737708,-0.893085,1.2950343
1764918390179,2.9496565,-22.18946,-4.8817773,0.35308012,-0.56688297,-0.019547688
1764918390236,3.1172507,-24.104822,-2.932897,2.0146337,-0.32375857,-1.4074335
1764918390290,3.0933087,-21.617247,-0.93373865,3.0445523,0.20525073,-2.1197023
1764918390345,2.870648,-15.521609,1.1659763,4.1355577,-0.05131268,-3.0995302
1764918390399,1.8626889,-13.189657,2.7964275,4.656015,-0.6047566,-3.31822
1764918390453,1.7405846,-13.742718,0.6607997,4.5191813,-0.9407325,-3.4025195
1764918390506,1.5969325,-9.107543,0.8283938,4.1184535,-0.9505063,-3.731165
1764918390565,1.103727,-3.928885,1.1180922,4.134336,-0.6133087,-3.7299433
1764918390650,1.2378023,2.2577322,0.89782566,3.0750957,-0.6976081,-2.8918362
1764918390704,2.0638018,10.603919,-2.72939,2.2015584,-0.9773844,-1.7311921
1764918390765,0.8379706,11.7387705,-5.767632,0.42271876,0.45570546,-0.09040806
1764918390819,-0.088585466,5.2002063,-3.2034419,-1.9230038,1.3292428,1.4477507
1764918390874,0.80924016,2.0278888,-0.79008657,-3.6884043,1.4001031,2.048842
1764918390946,2.861071,-5.4085016,4.8937483,-5.277876,0.9981538,2.9174924
1764918391000,3.7014358,-10.431537,1.8602947,-6.020688,0.36651915,2.9895744
1764918391056,1.2737153,-6.5816603,2.2361844,-5.1434855,0.035430185,3.385415
1764918391109,-2.9281087,-9.813833,1.1061212,-4.1135664,-0.2443461,3.522249
1764918391163,0.45250413,-14.348451,0.7278373,-4.070806,-0.7012733,2.8270843
1764918391219,2.6144683,-21.365856,-1.4317327,-3.200934,-0.8173377,2.0060816
1764918391272,2.5833437,-23.18545,-3.4644098,-0.91996306,-0.39950588,1.1936307
1764918391326,3.502717,-21.231781,-3.3734303,0.39706242,-0.23579398,-0.4373795
1764918391383,2.5594015,-18.907011,-1.0534488,2.1978931,-0.05497787,-1.4721853
1764918391448,2.4109612,-16.895882,1.0103531,3.903429,-0.05497787,-2.4019222
1764918391506,1.1540052,-13.318944,1.5035586,4.9309044,0.017104227,-3.040887
1764918391564,5.097255,-9.380483,0.6943185,4.7305403,-0.45081854,-3.0567696
1764918391619,2.3008277,-8.145074,3.064578,4.840496,-0.43860126,-2.919936
1764918391672,2.7389667,-9.251195,1.7597382,3.413515,-0.86620694,-3.1520646
1764918391724,2.2337902,-3.9145198,1.6663644,3.554014,-1.1276573,-3.4049628
1764918391781,1.4030021,1.4532804,1.5993267,3.145956,-1.3206906,-3.3255503
1764918391836,2.707842,9.660604,2.4253263,2.7525587,-1.3329079,-2.157576
1764918391888,1.1563994,8.561666,-4.175488,0.86742866,-0.14294247,-0.6450737
1764918391950,-0.14604631,6.679823,-5.535394,-0.36285394,1.0616838,0.79412484
1764918392007,0.9552865,2.1284454,-1.436521,-2.3151793,1.9168952,1.6652187
1764918392069,1.3694834,-1.7310078,3.3135753,-4.646241,1.391551,2.3127358
1764918392147,3.8738184,-5.604826,6.160281,-5.6627207,0.68661255,2.6975808
1764918392203,4.6112323,-7.8888946,0.7374141,-6.882008,0.19914207,2.8026497
1764918392256,1.0702082,-5.865794,1.6472107,-6.107431,-0.45204028,3.7409387
1764918392308,-1.8171991,-9.646238,3.5170822,-3.57234,-0.6719518,3.3377676
