t,ax,ay,az,gx,gy,gz
1764918387576,0.1340753,0.9648633,9.193734,0.02443461,0.062308256,0.013439035
1764918387629,0.016759412,0.8714894,9.435549,0.015882496,0.111177474,0.02443461
1764918387681,0.23223756,0.9935937,9.425972,-0.0036651916,0.013439035,0.02443461
1764918387734,0.06464344,1.0845734,9.524135,0.0012217305,0.028099801,0.02687807
1764918387787,0.4237737,0.9528923,9.215282,0.0036651916,-0.05009095,0.02321288
1764918387844,0.3854665,1.1013328,9.64145,-0.008552114,0.047647487,0.02443461
1764918387896,0.5410896,1.163582,9.495404,0.002443461,-0.007330383,0.018325957
1764918387950,0.59376204,1.2569559,9.797073,-0.0061086523,0.06841691,0.014660766
1764918388007,1.2258313,2.1523874,10.005369,0.015882496,-0.118507855,-0.035430185
1764918388060,1.3934253,2.3319526,10.496181,0.03176499,-0.09040806,-0.08307768
1764918388112,1.3120226,2.2816741,10.601525,0.061086524,-0.11362094,-0.14049901
1764918388165,1.5658079,2.054225,11.274296,0.119729586,0.010995574,-0.2125811
1764918388227,0.866701,1.9129672,11.408371,0.17715092,0.16493362,-0.28099802
1764918388279,0.08619126,0.9888053,10.740389,0.35796702,-0.089186326,-0.39584067
1764918388333,-0.6967127,0.81881696,10.888829,0.376293,0.44348818,-0.39461896
1764918388388,-0.5410896,0.4333505,12.8688345,0.46181414,-0.453262,-0.50946164
1764918388444,-1.6663644,1.1300632,11.942278,0.7244862,0.13072516,-0.3652974
1764918388498,-1.4700398,1.055843,13.117831,0.8014552,0.05009095,-0.30298916
1764918388551,1.8938135,0.89543146,5.1930237,0.87109387,-0.1160644,-0.30298916
1764918388606,-0.16280572,2.954445,8.820239,0.88697636,0.32742378,-0.23823744
1764918388658,1.6136919,3.4237084,11.659762,0.79290307,0.593761,-0.23579398
1764918388711,-0.49799395,2.9257145,12.605472,0.99082345,0.3371976,-0.3042109
1764918388764,2.0685902,3.98874,10.43872,1.0848967,0.17470746,-0.16737708
1764918388816,-2.4396915,3.9360676,14.834474,1.1508701,0.4129449,-0.2687807
1764918388870,-1.5777789,4.2185836,15.713146,1.3304645,0.40317106,-0.12217305
1764918388923,-2.4636335,2.7820623,21.394587,2.1331415,0.95905846,0.02321288
1764918388975,-0.51235914,0.46208093,20.90617,2.6010642,0.7012733,0.12095132
1764918389028,0.6607997,-2.6982653,21.35149,3.1227431,0.54367006,0.14905111
1764918389081,2.7102363,-9.437943,14.700398,4.0683627,0.8918633,0.18203785
1764918389133,4.6830587,-13.230358,10.896012,4.4238863,0.87964594,0.13927728
1764918389185,3.679888,-16.481684,5.7005944,4.6999974,1.8069394,0.2773328
1764918389244,2.5474305,-20.81519,-7.2568254,4.849048,1.1618657,0.6072
1764918389296,1.7980455,-17.822437,-8.9998045,4.721988,1.1459832,0.75502944
1764918389348,2.1404164,-15.239094,-14.571112,4.4617596,0.61208695,0.8063421
1764918389402,3.572149,-10.350134,-24.392126,3.4855971,0.40683624,0.6780604
1764918389455,4.9775453,-7.6973586,-28.960264,2.783102,-0.042760566,0.5363397
1764918389509,5.595249,-6.0118403,-32.625786,1.9511036,0.0842994,0.36896262
1764918389562,5.389348,-4.0198646,-44.97508,-0.07696902,-0.13805555,-0.07086037
1764918389615,2.8419175,-5.494693,-47.170563,-1.4978416,-0.19914207,-0.19547687
1764918389669,3.502717,-13.046005,-46.30865,-3.3487632,-0.9126327,-0.24556783
1764918389724,1.5131354,-40.732555,-38.395813,-6.1257567,-1.5173893,0.13927728
1764918389777,3.052607,-55.035515,-28.749575,-7.193549,-1.59558,0.42149702
1764918389830,4.8578353,-66.7288,-18.38268,-7.9400263,-1.6713274,0.72692966
1764918389883,9.991004,-78.44363,2.6647465,-8.502023,-1.7983873,1.2095132
1764918389936,10.828975,-72.73345,30.351295,-8.378628,-1.070236,1.3414601
1764918389989,17.29332,-52.789753,56.608505,-7.283957,-1.028697,1.4672983
1764918390045,17.417818,-8.236053,75.49158,-3.186273,0.059864793,0.7733554
1764918390098,12.169727,-1.508347,75.19709,-1.0763446,0.13194689,0.30176744
1764918390150,12.955026,1.151611,69.60423,0.8246681,0.43371433,0.06963864
1764918390203,11.815386,-12.62702,55.399433,3.8069122,0.75625116,-0.29077184
1764918390257,14.841657,-27.839777,47.77869,5.0469685,0.9370673,-0.47891834
1764918390311,12.413936,-43.02859,36.458904,6.2564816,1.4746287,-0.60231316
1764918390363,7.589619,-58.73695,8.228871,7.657807,1.7055358,-0.36041048
1764918390415,3.4979286,-58.39458,-2.0350714,7.732332,1.7776178,-0.065973446
1764918390467,1.1013328,-55.030727,-7.8625584,7.4916515,1.3720033,0.31642818
1764918390522,3.763685,-45.58081,-17.51598,6.6596527,1.6297885,0.9089675
1764918390575,4.8722005,-39.47081,-25.48867,6.1489697,0.31520647,0.9578367
1764918390630,7.893683,-30.66733,-38.927326,5.3511796,0.2003638,0.68539083
1764918390682,7.9032598,-10.084377,-72.94654,1.9889772,-0.087964594,0.4813618
1764918390748,10.3214035,-9.871294,-73.24103,-0.516792,-0.75747293,0.19425514
1764918390800,8.798691,-34.58185,-56.381054,-5.116607,-1.5015068,-0.17104226
1764918390854,6.2249246,-54.221485,-45.07803,-7.216762,-1.428203,0.017104227
1764918390906,4.7907977,-70.21475,-30.736761,-8.144055,-1.4074335,0.16615535
1764918390963,9.136273,-78.44363,0.21547815,-9.118997,-1.3402383,1.2534955
1764918391019,9.895236,-78.44363,8.51857,-8.842885,-1.754405,1.3903292
1764918391072,9.746795,-78.1252,34.23469,-8.460484,-1.0433578,1.5760323
1764918391127,17.164032,-29.582756,63.929974,-5.4953437,-0.906524,1.3439035
1764918391180,18.401834,-12.995727,69.2044,-3.8276815,-0.23090707,0.9627236
1764918391232,16.242264,-3.2680852,70.133354,-1.9645426,-0.27122417,0.52778757
1764918391284,16.115372,-2.3750482,64.083206,1.3109168,0.118507855,-0.2565634
1764918391337,16.998833,-9.854534,58.85187,2.792876,0.5876524,-0.59986967
1764918391392,14.195222,-22.029049,48.267105,4.225966,1.5760323,-0.81245077
1764918391445,9.572019,-45.72686,26.982653,6.355442,2.4862216,-0.70249504
1764918391498,7.1275387,-52.272606,16.941372,6.999294,2.388483,-0.408058
1764918391551,5.267244,-57.958836,6.5098343,7.4488907,2.5082128,0.13683382
1764918391604,3.145981,-53.412247,-8.7053175,7.393913,0.79045963,0.61819565
1764918391656,3.1172507,-48.221615,-14.00608,7.007846,1.1398746,0.89919364
1764918391711,4.225766,-42.76044,-21.806389,6.5252624,1.0433578,1.0848967
1764918391764,6.325481,-28.390444,-44.64707,4.9419,0.7965683,1.1142182
1764918391816,7.5441294,-18.404228,-54.329224,3.563788,-0.28710666,0.8136725
1764918391869,8.767567,-9.80665,-63.5469,1.8264871,-0.047647487,0.55833083
1764918391922,10.259154,-14.106636,-66.6857,-2.7464502,-0.7635816,-0.056199603
1764918391976,10.25676,-31.390379,-58.988342,-4.9284606,-1.0983357,-0.24190263
1764918392031,7.807492,-50.747498,-45.815445,-6.736622,-1.2229522,-0.3213151
1764918392083,2.6408045,-78.44363,-15.603012,-8.863655,-1.4318681,0.08307768
1764918392148,6.385336,-78.44363,-2.7389667,-9.027367,-2.4019222,0.71837753
1764918392200,11.798626,-75.71184,19.227835,-8.185595,-3.2876768,1.4184291
1764918392252,15.052346,-61.217342,48.003742,-7.4000216,-0.79290307,2.1160371
1764918392304,26.357767,-36.602554,63.532536,-5.7812285,-1.6859881,1.7849482
1764918392363,25.483883,-2.861071,69.63057,-1.8362609,0.030543262,0.61453044
1764918392415,22.380997,3.2944214,64.05687,-0.14782938,0.63163465,0.030543262
1764918392468,21.674707,-1.9560628,56.591747,1.2437216,0.35063666,-0.6084218
1764918392518,14.008474,-16.129736,44.9248,3.6786306,2.0427334,-1.1178834
1764918392569,10.240001,-28.967447,38.347927,4.8417177,2.3188446,-1.1606439
1764918392622,8.14268,-39.18111,28.902803,5.9192843,2.8002062,-0.84665924
1764918392676,7.4627266,-45.93755,17.448942,6.6620965,2.8185322,-0.42271876
1764918392730,5.547365,-47.83136,-2.078167,7.142236,1.3561208,0.35796702
1764918392782,5.374983,-45.305477,-5.485116,6.922325,0.6206391,0.3408628
1764918392850,4.915296,-40.129215,-17.776947,6.3835416,1.1753048,0.71593404
1764918392901,3.7828386,-32.81732,-27.696125,5.837428,0.7257079,0.68783426
1764918392951,5.841852,-23.211786,-41.50109,4.923574,-0.047647487,0.49357912
1764918393002,6.7851677,-8.171411,-57.468025,1.8802432,1.2168436,0.22602014
