t,ax,ay,az,gx,gy,gz
1764918045609,1.055843,6.054936,7.505822,0.09040806,0.040317107,-0.28588495
1764918045662,0.79726917,5.8466406,7.651869,0.08307768,0.14660765,-0.29810223
1764918045715,0.51235914,6.1770406,7.8984714,0.09040806,0.1966986,-0.2932153
1764918045772,0.5267244,7.3765354,8.310274,0.17715092,0.06963864,-0.29932398
1764918045825,0.641646,7.2592196,8.001422,0.25289822,-0.118507855,-0.32253686
1764918045877,0.56982,7.48188,6.981492,0.32498032,-0.028099801,-0.32742378
1764918045929,0.56982,6.7229185,5.104438,0.38606682,-0.37018433,-0.40561453
1764918045981,0.272939,6.0884547,4.259285,0.33108896,-0.35308012,-0.4728097
1764918046037,0.02633622,5.5042696,4.292804,0.17959438,0.20158553,-0.47036624
1764918046089,1.934515,4.1299977,5.884948,-0.17348573,-0.06719518,-0.344528
1764918046141,-2.930503,5.6120086,3.2465374,-0.19303341,0.13561209,-0.30543262
1764918046194,-2.6719291,5.9543796,5.1690817,-0.2883284,0.008552114,-0.1600467
1764918046245,0.46686932,4.357447,8.396465,-0.46914452,-0.5815437,-0.059864793
1764918046298,-0.17956513,5.0421886,8.030152,-0.52412236,-0.36163223,-0.019547688
1764918046352,-0.11492168,3.775656,11.233594,-0.5216789,-0.29443705,0.030543262
1764918046404,2.4109612,5.6646814,13.8241205,-0.19425514,-0.14660765,0.040317107
1764918046458,3.4332852,7.5704656,18.49042,0.07819075,-0.27488935,-0.089186326
1764918046511,3.8618474,7.345411,20.84392,0.47525316,0.20769419,-0.13683382
1764918046570,0.15562311,7.422025,17.853561,1.3634512,0.6072,-0.24190263
1764918046624,-1.1971009,6.801927,14.659697,1.677436,-0.05375614,-0.2602286
1764918046677,-0.8834604,5.5641246,11.947066,1.8606955,-0.46303585,-0.29932398
1764918046736,1.6448165,3.7373488,6.921637,2.0769417,-0.5888741,-0.48380527
1764918046792,1.0127473,2.9592333,5.657499,2.1343632,-0.28955013,-0.5522222
1764918046846,0.36870706,3.550601,2.9161377,2.1294763,-0.7122689,-0.7318166
1764918046898,-0.6488287,3.359065,2.4660277,2.0916026,-0.09896017,-0.72204274
1764918046952,-0.641646,3.205836,1.7190368,2.0891593,-0.09285152,-0.68783426
1764918047006,-2.2888567,3.4284968,-2.6168625,2.0916026,-0.20158553,-0.6389651
1764918047058,-3.4021606,3.8115692,-5.104438,1.9926424,-0.07696902,-0.58032197
1764918047111,-3.3662477,4.237737,-7.6111674,1.8057177,-0.02687807,-0.50579643
1764918047165,-4.010288,4.426879,-9.296685,1.5735888,0.11728613,-0.42271876
1764918047221,-4.795586,6.0262055,-11.683704,1.0372492,-0.004886922,-0.23090707
1764918047277,-4.999093,6.622362,-12.641385,0.7293731,-0.015882496,-0.11362094
1764918047329,-5.1259856,6.6510925,-12.955026,0.087964594,-0.047647487,0.095294975
1764918047382,-4.9200845,6.0860605,-12.409147,-0.23945917,-0.012217305,0.20158553
1764918047435,-4.9536033,5.8945246,-12.004527,-0.54733527,0.034208454,0.30543262
1764918047489,-4.450821,4.4675803,-10.481815,-1.1362094,0.052534413,0.52656585
1764918047541,-4.4005427,3.643975,-10.749966,-1.4220943,0.080634214,0.6450737
1764918047593,-4.4963107,2.6120741,-10.623073,-1.740966,0.06963864,0.75747293
1764918047648,-3.9624038,0.93134445,-9.962274,-2.4727826,0.16615535,0.9663888
