t,ax,ay,az,gx,gy,gz
1764918045565,-2.7126305,3.6272156,8.231265,-0.11362094,0.028099801,-0.008552114
1764918045618,-2.80361,3.3901896,8.312668,-0.12461651,0.05375614,-0.12461651
1764918045671,-3.004723,4.27365,8.350976,-0.10629055,0.021991149,-0.12705997
1764918045726,-2.9496565,4.2664676,8.614338,-0.2003638,-0.02565634,-0.040317107
1764918045778,-3.5553896,3.845088,7.1730285,-0.73548174,-0.111177474,0.1881465
1764918045829,-4.1491513,5.185841,6.8785415,-3.055548,-0.2761111,0.70249504
1764918045881,-2.2098482,-2.3223755,5.0254292,-11.469605,-2.252871,1.1398746
1764918045939,0.22744916,-13.438654,-2.2768857,-17.061466,-3.3341024,-0.05009095
1764918045991,0.61052144,-18.332403,-3.157952,-8.983384,-2.8002062,-1.5906931
1764918046044,2.6240451,-9.038112,-2.1332338,-1.1276573,-1.0005972,-1.0030408
1764918046123,4.6926355,-3.7660792,17.870321,1.4245378,0.8454375,0.6719518
1764918046176,3.1866825,-10.929531,0.7541735,0.3726278,-0.8026769,0.4654793
1764918046230,-1.8770541,-8.813056,-2.4396915,-0.08674286,-0.64996064,1.1154399
1764918046288,-3.2489316,-7.374141,-4.7740383,1.9315559,0.21624629,1.5528195
1764918046344,-2.183512,-9.303867,-0.3184288,0.5143485,0.14049901,1.0690142
1764918046396,-1.292869,-10.125079,0.521936,-0.7648033,0.047647487,0.65484756
1764918046451,-1.6065093,-9.988609,-0.2633622,-0.77824235,-0.07696902,0.36774087
1764918046509,-3.4644098,-10.053253,-0.5746084,1.1850786,0.26267207,0.09285152
1764918046588,-1.673547,-12.277467,2.2337902,0.89919364,-0.12950343,-0.4728097
1764918046648,-1.3575124,-13.393165,3.6128504,1.1154399,-0.18325958,-0.97127575
1764918046705,-1.1994951,-12.389994,2.8419175,1.4294246,-0.16982053,-1.6444492
1764918046760,0.15562311,-11.511322,2.6431987,1.3011429,-0.1563815,-1.8350391
1764918046814,0.7134721,-9.689334,3.490746,1.5357152,-0.19181168,-1.7373008
1764918046865,1.091756,-8.815451,3.6607344,1.5283848,-0.21624629,-1.5063937
1764918046924,1.769315,-10.132261,3.6415808,1.3341297,-0.19181168,-1.4110987
1764918046978,2.8060043,-8.090008,3.5553896,1.3011429,-0.15760323,-1.3451253
1764918047031,3.560178,-7.28795,4.699818,0.98349303,-0.25167647,-1.2095132
1764918047088,3.0238767,-6.789956,4.185065,1.0115929,-0.036651913,-1.1508701
1764918047147,2.813187,-5.3558292,4.307169,1.3695599,0.09773844,-1.0714576
1764918047200,3.8043866,-4.072537,4.8099513,1.0616838,-0.0012217305,-0.8979719
1764918047255,3.9743748,-3.0573955,5.092467,0.7672467,0.07086037,-0.66339964
1764918047308,4.261679,-3.1507695,5.2648497,0.30909783,0.12950343,-0.39461896
1764918047362,3.964798,-2.5617957,5.303157,0.112399206,0.13316862,-0.22357668
